resultado
"O Brasil é um país único. Ontem Bolsonaro disse que só ganhei as eleições porque o povo nordestino é analfabeto. Quem tem uma gota de sangue nordestino não pode votar nesse sujeito. Os nordestinos estão em todo o Brasil, trabalham e constroem esse país."
"Em São Bernardo, onde tudo começou, com Fernando Haddad, Geraldo Alckmin e Guilherme Boulos, iniciando nossa caminhada no segundo turno. Vamos juntos, por São Paulo, pelo Brasil, pelo nosso povo. #equipeLula #BrasilDaEsperança"
Lula e Haddad em caminhada em São Bernardo do Campo
"Não é verdade que o candidato do PT à Presidência, Luiz Inácio Lula da Silva, propõe a criação de banheiros infantis unissex se for eleito, conforme insinuam postagens nas redes sociais. Não há qualquer menção a essa proposta nas diretrizes da chapa petista registradas no TSE (Tribunal Superior Eleitoral), e a campanha do ex-presidente desmentiu a alegação. As publicações mostram uma placa de Campinas (SP), onde as escolas infantis contam com banheiro infantil unissex com fra… Ver mais"
"Lula repercutiu uma fala de Bolsonaro nesta quarta-feira, quando o atual presidente disse que 'Lula venceu em 9 dos 10 estados com maior taxa de analfabetismo. E que esses estados são no Nordeste'. #Lula #Bolsonaro #NoArNaCBN "
"São Bernardo nos deu a vitória no 1º turno e vai nos dar a vitória mais uma vez no 2º turno. Vamos juntos, com Fernando Haddad governador!"
"De propina no pneu a ônibus superfaturado, passando por rachadinha e 51 imóveis em dinheiro vivo: confira 17 escândalos de corrupção do governo Bolsonaro. #EquipeLula"
Lula e Haddad em caminhada em São Bernardo do Campo
Desinformação circula nas redes sociais para criticar o candidato do PT ao Planalto
"""Quem tiver uma gota de sangue nordestino não pode votar nesse negacionista, nesse monstro que governa esse país"", diz candidato do PT"
Lula recebe apoio de políticos do PSD
"Com Fernando Haddad em São Bernardo do Campo. Em São Paulo e no Brasil, é 13!"
"Coletiva da Frente Ampla Brasil da Esperança, com senadores e governadores"
Um recadinho da Alcione pro genocida. #forabolsonaro #bolsonaro #lula
"Coletiva de Lula para a imprensa com o presidente do PDT, Carlos Lupi"
Bom dia!  #lula #lulapresidente
"Pesquisa Genial/Quaest divulgada nesta quinta-feira (6/10) mostra o ex-presidente Luiz Inácio #Lula da Silva (PT) com 54% de votos válidos no segundo turno, seguido pelo presidente Jair #Bolsonaro (PL), com 46%."
O atual presidente tem ajustado suas promessas de campanha para apresentar ao eleitor propostas semelhantes às do ex-presidente Luiz Inácio Lula da Silva (PT)
"Pela democracia e pela inclusão social. Obrigado pelo seu voto e confiança, Fernando Henrique Cardoso. O Brasil precisa de diálogo e de paz."
Luiz Inácio #Lula da Silva (PT) foi questionado nesta quinta-feira (6/10) se pretende fazer uma carta aos evangélicos. O ex-presidente argumentou que todos já sabem que ele é religioso e que o papel do Estado é garantir a liberdade religiosa.
"Encontrei hoje Helder Barbalho, governador do Pará reeleito no 1º turno com a maior votação do Brasil. Agradeço seu apoio neste segundo turno. Vamos juntos pelo bem do Pará e do Brasil!"
O Dia de São Francisco é para lembrarmos da importância da natureza e da Amazônia para a vida no nosso planeta. Uma mensagem de paz para o Brasil. 
Lula e Janja têm um recado pra vocês. Vamos colocar o pé na rua e com força e fé vencer no 2º turno!
Lula se encontra com Frei Davi no Dia de São Francisco
ESPALHE A VERDADE! Lula nunca disse “nem Deus tira essa eleição”! #EquipeLula #BrasilDaEsperança
"Em seu berço político em SP, petista rebateu fala de presidente sobre analfabetismo no Nordeste. http://glo.bo/3CgFXp4"
Bom dia. #FalaLula
Petista vai abordar temas como aborto e religião para tentar conquistar votos do eleitorado evangélico
Lula mais uma vez falando a verdade
COMPARTILHE A VERDADE!
"Bolsonaro vence em SP, Lula em MG"
A senadora Simone Tebet (MDB) anunciou na tarde desta quarta-feira (05) apoio à candidatura de Lula (PT).
